arm,track,type,seed,finaleLeadChanges,deadFinale,gapP1P2,gapP2P3,duoEscape,deadDuoFinale,frontGroupAtLine,within3At090,leaderGapP2At090,leadChanges62,distinctLeaders62,p1Contest62,runaway,parade,winnerIsLeaderAt090
A8-G075,searound,closed,33,1,0,0.7636,0.7244,0,0,3,5,0.0038,7,5,1,0,0,0
A8-G075,searound,closed,34,1,0,0.3625,1.1981,0,0,5,2,1.1969,2,3,0,0,0,0
A8-G075,searound,closed,35,1,0,0.6327,0.2117,0,0,4,3,1.5,3,3,0,0,0,0
A8-G075,searound,closed,36,1,0,2.6209,0.8422,0,0,2,4,1.0843,4,5,1,0,0,1
A8-G075,searound,closed,37,1,0,1.1976,2.6655,0,0,2,0,5.1689,1,2,0,1,0,1
A8-G075,searound,closed,38,2,0,1.8236,1.0409,0,0,3,2,2.0517,5,4,1,0,0,0
A8-G075,searound,closed,39,3,0,0.6944,0.1794,0,0,8,3,1.3534,4,5,0,0,0,0
A8-G075,searound,closed,40,2,0,1.9945,0.5266,0,0,6,2,2.3118,4,5,1,0,0,0
A8-G075,searound,closed,41,2,0,0.2712,1.349,0,0,7,8,0.5501,3,3,1,0,0,1
A8-G075,searound,closed,42,2,0,1.396,0.5623,0,0,9,8,0.1941,4,4,1,0,0,0
A8-G075,searound,closed,43,2,0,1.6608,2.2528,0,0,2,5,0.3371,4,5,1,0,0,0
A8-G075,searound,closed,44,4,0,0.1169,1.7666,1,0,7,3,1.54,6,5,1,0,0,0
