arm,track,raceIdx,startP,endP,durationMs,peakGapLen,resolved,corrected,hadCorrectableRollAhead,startedAfterWindowEnd,cause
s0.50,city-circuit,5,0.7298,0.9034,19456,5.0117,1,1,1,0,CORRECTED
s0.50,city-circuit,5,0.9933,1,7056,0.8883,0,0,0,1,OUT-OF-ROLLS
s0.50,city-circuit,6,0.1049,0.2364,13072,1.1871,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,6,0.2738,0.2878,1520,0.9737,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,6,0.4328,0.4825,5424,1.921,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,6,0.7365,0.7894,5696,1.5839,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,6,0.819,0.9788,16704,3.893,1,1,1,0,CORRECTED
s0.50,city-circuit,7,0.1199,0.3252,20608,3.3845,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,7,0.4044,0.4261,2368,1.0409,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,7,0.6596,0.7264,7680,1.501,1,1,1,0,CORRECTED
s0.50,city-circuit,7,0.7459,0.8989,17824,2.9059,1,1,1,0,CORRECTED
s0.50,city-circuit,7,0.9394,1,10496,1.5861,0,0,0,1,OUT-OF-ROLLS
s0.50,city-circuit,8,0.1009,0.2848,17984,1.5306,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,8,0.4458,0.4508,544,0.8014,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,8,0.593,0.6969,10416,2.3247,1,1,1,0,CORRECTED
s0.50,city-circuit,8,0.7755,1,34608,4.6078,0,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,9,0.0926,0.2648,17280,2.3546,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,9,0.4343,0.4486,1584,0.7798,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,9,0.6617,0.7028,4432,1.0039,1,1,1,0,CORRECTED
s0.50,city-circuit,9,0.7382,0.8041,6848,1.5381,1,1,1,0,CORRECTED
s0.50,city-circuit,10,0.1179,0.2904,17136,2.5889,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,10,0.6118,0.806,21936,4.1238,1,1,1,0,CORRECTED
s0.50,city-circuit,11,0.0408,0.1651,12560,1.8116,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,11,0.2101,0.2381,2688,0.8678,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,11,0.2449,0.2603,1520,0.8269,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,11,0.4623,0.4651,288,0.7836,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,11,0.4812,0.4967,1680,1.0989,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,11,0.634,0.9149,31184,5.4304,1,1,1,0,CORRECTED
s0.50,city-circuit,11,0.9632,1,10368,1.1951,0,0,0,1,OUT-OF-ROLLS
s0.50,city-circuit,12,0.0562,0.1547,9728,1.3719,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,12,0.2014,0.272,6976,1.5631,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,12,0.3655,0.4013,3904,1.2936,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,12,0.4487,0.4573,944,0.8601,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,12,0.5897,0.6002,1072,0.7723,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,12,0.621,0.8605,27392,4.0221,1,1,1,0,CORRECTED
s0.50,city-circuit,12,0.8796,1,19008,4.0472,0,0,0,0,OUT-OF-ROLLS
s0.50,city-circuit,13,0.1123,0.2786,16400,1.5791,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,13,0.646,0.7198,7392,2.14,1,1,1,0,CORRECTED
s0.50,city-circuit,13,0.763,1,34416,4.1329,0,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,14,0.1461,0.3137,16832,2.8476,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,14,0.4285,0.4871,6384,1.8847,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,14,0.6749,0.8514,19248,5.083,1,1,1,0,CORRECTED
s0.50,city-circuit,14,0.8745,0.8958,2256,1.0491,1,1,1,0,CORRECTED
s0.50,city-circuit,15,0.1319,0.2777,14288,1.555,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,15,0.6143,0.7689,18064,1.3158,1,1,1,0,CORRECTED
s0.50,city-circuit,15,0.8415,1,23936,1.6131,0,0,0,0,OUT-OF-ROLLS
s0.50,city-circuit,16,0.1542,0.2683,11648,2.5945,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,16,0.2956,0.3097,1584,0.9329,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,16,0.6418,0.7952,16832,3.0457,1,1,1,0,CORRECTED
s0.50,city-circuit,16,0.8242,1,24960,1.5282,0,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,17,0.0848,0.2942,20464,1.9164,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,17,0.3295,0.3863,6192,1.3437,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,17,0.5414,0.6379,10416,1.5419,1,1,1,0,CORRECTED
s0.50,city-circuit,17,0.7485,0.7766,3152,1.0691,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,17,0.8481,1,22624,3.9097,0,0,0,0,OUT-OF-ROLLS
s0.50,city-circuit,18,0.1282,0.2496,12128,1.4162,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,19,0.3975,0.4038,688,0.8198,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,19,0.7365,0.7505,1616,0.9777,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,19,0.7983,0.9822,18672,1.5759,1,1,1,0,CORRECTED
s0.50,city-circuit,20,0.0906,0.2948,20064,1.5034,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,20,0.4647,0.5576,10128,1.5606,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,20,0.6199,0.6368,2016,0.9003,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,20,0.6622,0.7193,6400,1.6264,1,1,1,0,CORRECTED
s0.50,city-circuit,20,0.7418,0.845,10656,1.4946,1,1,1,0,CORRECTED
s0.50,city-circuit,20,0.8789,0.9703,9760,1.5555,1,0,0,0,OUT-OF-ROLLS
s0.50,city-circuit,21,0.1315,0.2883,16144,2.9798,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,21,0.3713,0.3716,32,0.7525,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,21,0.4815,0.4849,368,0.8078,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,21,0.5781,0.6546,8384,1.4314,1,1,1,0,CORRECTED
s0.50,city-circuit,21,0.6777,0.8201,15120,2.1493,1,1,1,0,CORRECTED
s0.50,city-circuit,21,0.8653,0.8664,128,0.7736,1,0,0,0,OUT-OF-ROLLS
s0.50,city-circuit,21,0.9221,1,13328,1.3498,0,0,0,0,OUT-OF-ROLLS
s0.50,city-circuit,22,0.121,0.3656,25088,4.6795,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,22,0.4084,0.5508,15296,1.6747,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,22,0.6317,0.6433,1424,0.7553,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,22,0.7083,0.7661,6672,1.0162,1,1,1,0,CORRECTED
s0.50,city-circuit,22,0.8262,0.9311,12096,1.0746,1,1,1,0,CORRECTED
s0.50,city-circuit,22,0.9597,1,8000,2.0992,0,0,0,1,OUT-OF-ROLLS
s0.50,city-circuit,23,0.1226,0.3142,19184,3.6866,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,23,0.3403,0.3439,384,0.8173,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,23,0.615,0.6271,1424,0.8557,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,23,0.6294,0.7127,10128,1.2363,1,1,1,0,CORRECTED
s0.50,city-circuit,23,0.7789,0.9149,14896,3.0583,1,1,1,0,CORRECTED
s0.50,city-circuit,23,0.9334,0.9962,6448,1.2443,1,0,0,1,OUT-OF-ROLLS
s0.50,city-circuit,24,0.0939,0.2652,17056,1.6994,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,24,0.3535,0.3787,2752,1.2594,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,24,0.4201,0.4367,1840,1.0587,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,24,0.5965,0.6215,2736,0.9547,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,24,0.6668,0.7992,14656,3.1975,1,1,1,0,CORRECTED
s0.50,city-circuit,24,0.8374,0.8699,3680,1.4216,1,0,1,0,UNCORRECTED-OTHER
s0.50,city-circuit,24,0.9873,1,7216,1.0103,0,0,0,1,OUT-OF-ROLLS
s0.50,searound,0,0.075,0.2704,17440,1.6739,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,0,0.3749,0.3994,2336,0.9603,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,0,0.6833,1,33088,7.3403,0,0,1,0,UNCORRECTED-OTHER
s0.50,searound,1,0.0895,0.2724,14944,1.6324,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,1,0.3016,0.3175,1456,0.8453,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,1,0.4252,0.5076,7216,1.6995,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,1,0.6132,0.6916,7824,1.9645,1,1,1,0,CORRECTED
s0.50,searound,1,0.7234,0.7625,4048,1.4197,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,1,0.8057,0.8087,272,0.8248,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,1,0.8301,1,20736,3.359,0,0,1,0,UNCORRECTED-OTHER
s0.50,searound,2,0.1057,0.2957,15744,1.5152,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,2,0.3878,0.4769,7904,1.5646,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,2,0.5344,0.7616,20688,1.8984,1,1,1,0,CORRECTED
s0.50,searound,2,0.779,1,30032,5.821,0,0,1,0,UNCORRECTED-OTHER
s0.50,searound,3,0.057,0.261,17632,1.5089,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,3,0.2826,0.3578,7040,2.1178,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,3,0.3774,0.3819,416,0.8445,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,3,0.4364,0.5125,6960,1.0311,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,3,0.618,0.711,8304,2.0066,1,1,1,0,CORRECTED
s0.50,searound,3,0.7332,1,30272,4.7541,0,0,1,0,UNCORRECTED-OTHER
s0.50,searound,4,0.1454,0.2144,6528,1.3175,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,4,0.3851,0.3915,592,0.874,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,4,0.5759,0.6171,3584,1.1802,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,4,0.6525,0.7159,5712,1.6898,1,1,1,0,CORRECTED
s0.50,searound,4,0.7825,0.9778,18608,2.4298,1,1,1,0,CORRECTED
s0.50,searound,5,0.0979,0.2051,8928,1.1783,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,5,0.2222,0.2613,3328,0.9634,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,5,0.5455,0.6085,5488,1.0376,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,5,0.6317,0.6644,3312,0.8343,1,1,1,0,CORRECTED
s0.50,searound,5,0.6796,1,34144,7.0106,0,0,1,0,UNCORRECTED-OTHER
s0.50,searound,6,0.0953,0.2824,15424,1.5462,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,6,0.4661,0.4768,976,0.9124,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,6,0.4805,0.4892,800,0.8795,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,6,0.4931,0.5118,1712,0.9356,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,6,0.6259,0.8388,19280,4.7143,1,1,1,0,CORRECTED
s0.50,searound,6,0.9058,0.9318,2560,0.8441,1,0,0,0,OUT-OF-ROLLS
s0.50,searound,7,0.1815,0.2763,8256,1.5024,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,7,0.3851,0.4548,6480,1.1138,1,0,1,0,UNCORRECTED-OTHER
s0.50,searound,7,0.5386,0.5589,1856,1.0475,1,0,1,0,UNCORRECTED-OTHER
